absence_id,employee_id,absence_type,plan_code,start_date,end_date,duration_days,applied_date,approved_by,approval_date,absence_status,reason,remarks,half_day_flag,attachment_provided,department,location
ABSQJ7W1UMAI,EMP00002,Bereavement Leave,BL-PLAN-08,2024-05-05,2024-05-16,12,2024-04-30,EMP00020,2024-05-01,Cancelled,Marriage,Pre-planned,N,Yes,Product,Singapore
ABSF20YGKDU8,EMP00470,Unpaid Leave,ML-PLAN-04,2024-07-04,2024-07-13,10,2024-06-10,EMP00031,2024-06-12,Pending,Travel,,Y,N/A,Sales,Singapore
ABSIFZPNAZ9N,EMP00444,Unpaid Leave,UL-PLAN-07,2022-06-25,2022-07-01,7,2022-05-28,EMP00002,2022-05-31,Approved,Marriage,Recurring,N,N/A,Operations,Dubai
ABSOJII1S281,EMP00237,Work From Home,ML-PLAN-04,2023-08-20,2023-08-30,11,2023-07-26,EMP00037,2023-07-29,Rejected,Emergency,,N,N/A,Product,Bengaluru
ABS3SRS5VENJ,EMP00593,Casual Leave,BL-PLAN-08,2023-09-19,2023-09-23,5,2023-08-31,EMP00020,2023-09-03,Withdrawn,Vacation,,N,Yes,Product,London
ABSFTYPRC72M,EMP00697,Casual Leave,BL-PLAN-08,2025-01-14,2025-01-16,3,2025-01-07,EMP00038,2025-01-09,Rejected,Medical,Urgent,N,Yes,Sales,Sydney
ABSTO0XTDO2S,EMP00216,Compensatory Off,CO-PLAN-06,2024-01-13,2024-01-21,9,2024-01-08,EMP00025,2024-01-11,Pending,Medical Appointment,None,N,Yes,Marketing,Dubai
ABST0P2SQ0JR,EMP00723,Maternity Leave,UL-PLAN-07,2023-10-21,2023-10-26,6,2023-10-07,EMP00037,2023-10-08,Cancelled,Marriage,Pre-planned,N,Yes,Legal,Singapore
ABS68KEAP4WZ,EMP00262,Casual Leave,UL-PLAN-07,2023-05-26,2023-06-02,8,2023-04-28,EMP00048,2023-05-02,Approved,Medical Appointment,Pre-planned,N,Yes,Marketing,New York
ABSEHGMVIR1A,EMP00362,Casual Leave,CO-PLAN-06,2024-08-04,2024-08-01,2,2024-07-17,EMP00032,2024-07-22,Approved,Marriage,,N,N/A,Engineering,New York
ABSYW67WEWOW,EMP00135,Casual Leave,AL-PLAN-01,2024-05-29,2024-06-01,4,2024-05-14,EMP00031,2024-05-19,Pending,Medical,,N,Yes,Legal,New York
ABSV0FDRUBXI,EMP00097,Sick Leave,PL-PLAN-05,2024-11-30,2024-11-30,1,2024-11-27,EMP00003,2024-11-30,Pending,Emergency,None,N,Yes,Operations,Toronto
ABSCZ4GGMLGU,EMP00733,Maternity Leave,AL-PLAN-01,2025-02-05,2025-02-12,8,2025-01-20,EMP00033,2025-01-25,Rejected,Marriage,,Y,Yes,Marketing,Mumbai
ABSHXE5RLUMR,EMP00193,Compensatory Off,PL-PLAN-05,2024-08-19,2024-08-20,2,2024-07-29,EMP00018,2024-07-30,Cancelled,Medical Appointment,Urgent,N,N/A,Finance,London
ABSX9FFW7X77,EMP00216,Bereavement Leave,UL-PLAN-07,2024-09-19,2024-09-26,0,2024-09-17,EMP00046,2024-09-22,Pending,Travel,,Y,Yes,Finance,Bengaluru
ABSJ2Z68LXU6,EMP00388,Unpaid Leave,UL-PLAN-07,2024-04-12,2024-04-17,6,2024-03-26,EMP00033,2024-03-30,Pending,Travel,,Y,Yes,Sales,Dubai
ABSRVK1UT3CK,EMP00110,Compensatory Off,ML-PLAN-04,2024-03-22,2024-03-25,4,2024-02-24,EMP00026,2024-02-26,Rejected,Emergency,,N,N/A,Operations,Mumbai
ABS9WY0MJFS0,EMP00476,Compensatory Off,BL-PLAN-08,2022-05-26,2022-06-03,9,2022-05-07,EMP00007,2022-05-11,Pending,Marriage,Pre-planned,N,Yes,Engineering,Singapore
ABSRFL4CG2RI,EMP00009,Bereavement Leave,CO-PLAN-06,2022-01-21,2022-01-28,8,2021-12-26,EMP00020,2021-12-29,Rejected,Marriage,,N,N/A,Marketing,Toronto
ABSQKD6W8FI6,EMP00666,Bereavement Leave,UL-PLAN-07,,2023-11-18,-1,2023-10-25,EMP00041,2023-10-28,Withdrawn,Medical Appointment,None,N,N/A,Finance,Sydney
ABST62X8Y8I7,EMP00016,Casual Leave,ML-PLAN-04,2023-12-23,2024-01-05,14,2023-12-09,EMP00018,2023-12-13,Withdrawn,Vacation,None,N,N/A,Engineering,Singapore
ABS8CS0DAOXH,EMP00018,Sick Leave,SL-PLAN-02,2023-09-23,2023-10-06,14,2023-09-16,EMP00017,2023-09-18,Pending,Family,,N,No,Marketing,Singapore
ABSWFGC2GET1,EMP00794,Annual Leave,AL-PLAN-01,2024-10-12,2024-10-12,1,2024-09-22,EMP00048,2024-09-27,Pending,Child Care,,N,Yes,Finance,Mumbai
ABSMXPWLS8CF,EMP00172,Annual Leave,PL-PLAN-05,2024-08-14,2024-08-25,12,2024-07-15,EMP00006,2024-07-17,Pending,Travel,Recurring,N,Yes,Legal,London
ABSYR3N2K5GH,,Sick Leave,BL-PLAN-08,2025-02-06,2025-02-08,3,2025-01-27,EMP00034,2025-01-29,Approved,Marriage,Urgent,N,N/A,Sales,Dubai
ABS9SPH5I7NF,EMP00694,Annual Leave,CL-PLAN-03,2025-02-27,2025-02-27,1,2025-02-19,EMP00044,2025-02-20,Pending,Marriage,,N,No,Operations,Mumbai
ABS19MGWYIIY,EMP00052,Bereavement Leave,UL-PLAN-07,2022-12-07,2022-12-20,14,2022-12-02,EMP00017,2022-12-03,Pending,Personal,,N,Yes,Sales,Dubai
ABS5P0S22MSX,EMP00301,Unpaid Leave,CO-PLAN-06,2022-09-01,2022-09-13,13,2022-08-03,EMP00016,2022-08-06,Rejected,Medical,,Y,N/A,Engineering,Bengaluru
ABS3CQUNGATH,EMP00278,Maternity Leave,UL-PLAN-07,2022-05-09,2022-05-13,5,2022-04-28,EMP00035,2022-04-29,Rejected,Marriage,,N,N/A,Product,Toronto
ABSQVBH0I2ZT,EMP00154,UNKNOWN_TYPE_XYZ,PL-PLAN-05,2024-04-06,2024-04-03,15,2024-03-17,EMP00035,2024-03-18,Pending,Vacation,,N,Yes,Finance,Toronto
ABS4HLSFG4FM,EMP00591,Work From Home,SL-PLAN-02,2023-07-09,2023-07-14,6,2023-06-22,EMP00002,2023-06-26,Withdrawn,Travel,Recurring,N,Yes,Product,Mumbai
ABS71ML7UHRN,EMP00104,Compensatory Off,CO-PLAN-06,2024-04-21,2024-04-30,10,2024-04-04,EMP00030,2024-04-07,Rejected,Vacation,,N,No,Human Resources,Singapore
ABSUCJLBWLFD,EMP00110,Casual Leave,ML-PLAN-04,2023-01-18,2023-01-21,4,2022-12-20,EMP00006,2022-12-21,Rejected,Family,Pre-planned,Y,Yes,Operations,London
ABSLR6MK222V,EMP00114,Casual Leave,ML-PLAN-04,2022-10-30,2022-11-11,13,2022-10-15,EMP00025,2022-10-16,Cancelled,COVID-19,Recurring,Y,N/A,Engineering,Bengaluru
ABSKB3RXAK3A,EMP00023,Unpaid Leave,CL-PLAN-03,2023-02-10,2023-02-12,3,2023-01-11,EMP00022,2023-01-16,Pending,Travel,None,N,No,Marketing,London
ABS8UGYVLTYP,EMP00495,Maternity Leave,BL-PLAN-08,2023-11-17,2023-11-28,12,2023-10-30,EMP00045,2023-11-01,Cancelled,Other,Urgent,N,N/A,Product,Sydney
ABSKAK0L951B,EMP00300,Maternity Leave,CL-PLAN-03,2022-11-27,2022-12-07,11,2022-10-30,EMP00045,2022-11-01,Approved,Vacation,,N,Yes,Marketing,New York
ABS0T3A99467,EMP00450,Compensatory Off,ML-PLAN-04,2024-01-27,2024-02-05,10,2024-01-02,EMP00015,2024-01-05,Rejected,Child Care,,Y,Yes,Operations,Toronto
ABSY81SJ5ERX,EMP00690,Sick Leave,CO-PLAN-06,2024-12-01,2024-12-04,4,2024-11-08,EMP00015,2024-11-13,Approved,Child Care,Recurring,Y,N/A,Human Resources,Dubai
ABS0ES96IWS4,EMP00732,Annual Leave,CL-PLAN-03,,2022-09-08,9,2022-08-15,EMP00020,2022-08-18,Withdrawn,Marriage,Pre-planned,N,No,Legal,Singapore
ABSJ3SUH341O,EMP00714,Maternity Leave,CL-PLAN-03,2024-02-20,2024-02-25,6,2024-01-29,EMP00023,2024-02-01,Rejected,Family,,Y,Yes,Legal,Singapore
ABSEYVOMA6HP,EMP00494,Annual Leave,SL-PLAN-02,2022-04-05,2022-04-14,10,2022-03-13,EMP00002,2022-03-17,Pending,Travel,None,N,Yes,Sales,Dubai
ABS6VI8MUURK,EMP00600,Work From Home,UL-PLAN-07,2024-08-12,2024-08-23,12,2024-07-22,EMP00006,2024-07-27,Cancelled,Emergency,Pre-planned,Y,No,Product,London
ABSOMD7F73PS,EMP00050,Compensatory Off,BL-PLAN-08,2024-08-31,2024-09-13,14,2024-08-17,EMP00005,2024-08-20,Withdrawn,Child Care,None,N,Yes,Finance,New York
ABS2WHGT6VGY,EMP00300,Casual Leave,ML-PLAN-04,2022-05-27,2022-05-28,12,2022-05-23,EMP00025,2022-05-26,Pending,Travel,,Y,No,Engineering,Singapore
ABS0E3F56A29,EMP00016,Bereavement Leave,PL-PLAN-05,2024-02-17,2024-02-22,6,2024-02-05,EMP00022,2024-02-08,Approved,Medical Appointment,,N,No,Legal,New York
ABSWIDR50FJH,EMP00377,Bereavement Leave,CO-PLAN-06,2023-11-26,2023-12-03,8,2023-11-21,EMP00045,2023-11-25,Pending,Personal,None,Y,Yes,Legal,Bengaluru
ABS5PF220T33,EMP00622,Annual Leave,UL-PLAN-07,2024-10-16,2024-10-19,4,2024-09-21,EMP00007,2024-09-26,Cancelled,Marriage,Pre-planned,Y,N/A,Sales,Mumbai
ABS3W3I50BS1,EMP00473,Casual Leave,AL-PLAN-01,2024-07-17,2024-07-23,7,2024-07-02,EMP00021,2024-07-07,Rejected,Travel,Recurring,Y,No,Legal,Bengaluru
ABSI3PD0QBNY,,Sick Leave,ML-PLAN-04,2022-03-16,2022-03-13,0,2022-03-26,EMP00030,2022-03-05,Cancelled,Medical Appointment,Urgent,N,N/A,Human Resources,London
ABSPQUKKBGQ9,EMP00065,Casual Leave,UL-PLAN-07,2022-02-16,2022-02-22,7,2022-01-21,EMP00027,2022-01-25,Rejected,Child Care,Urgent,N,N/A,Finance,Sydney
ABS8QYSIWCN2,EMP00207,Work From Home,CO-PLAN-06,2023-08-01,2023-08-03,3,2023-07-05,EMP00010,2023-07-09,Cancelled,Personal,Urgent,N,Yes,Marketing,New York
ABS1IIDD2GUI,EMP00131,Work From Home,AL-PLAN-01,2024-08-17,2024-08-19,3,2024-07-23,EMP00036,2024-07-28,Withdrawn,Travel,,N,Yes,Engineering,Toronto
ABSFP1P120YW,EMP00574,Maternity Leave,CL-PLAN-03,2022-10-02,2022-10-09,8,2022-09-07,EMP00040,2022-09-11,Approved,Medical Appointment,Pre-planned,Y,Yes,Product,London
ABSUSOSLEYPJ,EMP00044,Sick Leave,CO-PLAN-06,2022-10-22,2022-10-24,3,2022-10-20,EMP00032,2022-10-25,Rejected,Personal,Pre-planned,N,No,Finance,Mumbai
ABSP3GP8GIBP,EMP00353,Casual Leave,PL-PLAN-05,2022-07-20,2022-07-26,7,2022-07-16,EMP00048,2022-07-18,Withdrawn,Personal,Pre-planned,N,No,Human Resources,Singapore
ABSB03GN6A95,EMP00501,Sick Leave,AL-PLAN-01,2024-11-18,2024-11-20,3,2024-10-27,EMP00021,2024-10-30,Rejected,Other,,N,Yes,Marketing,Singapore
ABSA492E0ZNL,EMP00646,Bereavement Leave,ML-PLAN-04,2022-11-09,2022-11-16,8,2022-10-23,EMP00018,2022-10-26,Rejected,COVID-19,Pre-planned,N,Yes,Engineering,London
ABSKYV9KF4JL,EMP00394,Work From Home,ML-PLAN-04,2024-04-13,2024-04-14,2,2024-03-24,EMP00026,2024-03-29,Withdrawn,Child Care,None,N,Yes,Operations,London
ABSYHHR6ACC2,EMP00704,UNKNOWN_TYPE_XYZ,BL-PLAN-08,,2023-03-31,-1,2023-03-10,EMP00025,2023-03-12,UNKNOWN,Medical,Urgent,N,N/A,Finance,New York
ABS49HEX4FOZ,EMP00607,Sick Leave,CO-PLAN-06,2025-01-13,2025-01-26,14,2024-12-23,EMP00011,2024-12-24,Pending,Vacation,,N,Yes,Sales,Toronto
ABS9T9SJT4R2,EMP00348,Unpaid Leave,ML-PLAN-04,2024-11-19,2024-11-21,3,2024-10-31,EMP00003,2024-11-03,Withdrawn,Medical,Recurring,N,Yes,Marketing,Sydney
ABSN0MVKXICS,EMP00112,Compensatory Off,CL-PLAN-03,2022-04-20,2022-04-29,10,2022-03-30,EMP00047,2022-04-02,Pending,Medical,Pre-planned,N,No,Legal,Dubai
ABSCORQXV3FX,EMP00277,Annual Leave,SL-PLAN-02,2022-01-09,2022-01-17,9,2021-12-25,EMP00031,2021-12-28,Rejected,Travel,Recurring,N,Yes,Legal,Sydney
ABSGOJJ0UP3A,EMP00136,Bereavement Leave,ML-PLAN-04,2023-09-10,2023-09-23,14,2023-08-31,EMP00026,2023-09-01,Pending,Other,Pre-planned,N,No,Marketing,London
ABS30VEYLBDN,EMP00382,Casual Leave,BL-PLAN-08,2024-02-14,2024-02-25,12,2024-02-08,EMP00003,2024-02-10,Rejected,Emergency,,N,N/A,Operations,Toronto
ABSBACJNQUZ2,EMP00021,Compensatory Off,CO-PLAN-06,2023-08-17,2023-08-19,3,2023-08-04,EMP00013,2023-08-07,Rejected,COVID-19,None,N,Yes,Operations,Bengaluru
ABSZ910615A5,EMP00161,Work From Home,AL-PLAN-01,2023-03-02,2023-03-06,5,2023-02-25,EMP00038,2023-03-01,Withdrawn,Child Care,,Y,Yes,Legal,Mumbai
ABSQEZJR97TY,EMP00604,Unpaid Leave,ML-PLAN-04,2022-02-12,2022-02-23,12,2022-01-14,EMP00047,2022-01-16,Cancelled,Personal,Pre-planned,Y,Yes,Operations,Toronto
ABS68DS1VKVX,EMP00123,Annual Leave,ML-PLAN-04,2023-09-16,2023-09-13,7,2023-09-07,EMP00028,2023-09-11,Rejected,Other,,Y,Yes,Operations,New York
ABSKOAHWJYH5,EMP00327,Unpaid Leave,AL-PLAN-01,2024-11-04,2024-11-05,2,2024-10-31,EMP00036,2024-11-01,Rejected,Emergency,Recurring,N,Yes,Legal,London
ABSSU9IFA1E6,EMP00441,Unpaid Leave,UL-PLAN-07,2022-12-02,2022-12-10,9,2022-11-19,EMP00004,2022-11-24,Cancelled,Emergency,,N,No,Finance,Sydney
ABS0WX5WJNZQ,EMP00455,Unpaid Leave,AL-PLAN-01,2022-05-20,2022-05-25,6,2022-05-19,EMP00021,2022-05-22,Rejected,Personal,Urgent,N,N/A,Human Resources,London
ABSCBVBBGCID,EMP00654,Compensatory Off,UL-PLAN-07,2023-11-09,2023-11-20,12,2023-10-11,EMP00029,2023-10-14,Withdrawn,Emergency,,N,N/A,Finance,Mumbai
ABS7E96P98KT,,Annual Leave,UL-PLAN-07,2022-05-13,2022-05-19,16,2022-05-09,EMP00013,2022-05-12,Cancelled,Personal,Recurring,Y,Yes,Product,New York
ABSI1H53QM3K,EMP00069,Unpaid Leave,AL-PLAN-01,2022-08-12,2022-08-22,11,2022-08-11,EMP00031,2022-08-15,Rejected,Other,,N,N/A,Operations,London
ABS9OF6XQR8Q,EMP00449,Maternity Leave,UL-PLAN-07,2024-04-07,2024-04-14,8,2024-04-01,EMP00003,2024-04-03,Approved,Travel,Pre-planned,N,No,Product,London
ABS9PRH9L9XZ,EMP00095,Work From Home,SL-PLAN-02,2023-12-08,2023-12-18,11,2023-11-10,EMP00008,2023-11-13,Rejected,Personal,,N,No,Product,Sydney
ABSKF8Y6FKNV,EMP00673,Unpaid Leave,BL-PLAN-08,2024-11-02,2024-11-05,4,2024-10-31,EMP00040,2024-11-05,Rejected,Medical,,Y,Yes,Sales,Sydney
ABS5ZIBCGVJL,EMP00789,Bereavement Leave,BL-PLAN-08,,2022-07-29,3,2022-07-08,EMP00016,2022-07-13,Withdrawn,Vacation,,N,Yes,Legal,Bengaluru
ABSBR5ACO3CF,EMP00054,Casual Leave,ML-PLAN-04,2023-11-03,2023-11-06,4,2023-10-06,EMP00026,2023-10-11,Pending,Other,,N,Yes,Marketing,Singapore
ABS1PL08L7C1,EMP00461,Bereavement Leave,BL-PLAN-08,2022-03-07,2022-03-16,10,2022-02-26,EMP00025,2022-03-02,Rejected,Travel,Recurring,N,No,Product,Singapore
ABSL7PD9L1OC,EMP00415,Unpaid Leave,CO-PLAN-06,2023-12-03,2023-12-07,5,2023-11-17,EMP00012,2023-11-22,Approved,Family,Urgent,N,No,Marketing,Dubai
ABS5YGPM92UZ,EMP00249,Maternity Leave,CL-PLAN-03,2022-04-14,2022-04-19,6,2022-04-02,EMP00041,2022-04-07,Cancelled,COVID-19,None,N,Yes,Finance,Mumbai
ABSYD7W49GLY,EMP00179,Bereavement Leave,CL-PLAN-03,2024-05-15,2024-05-18,0,2024-04-24,EMP00004,2024-04-27,Pending,Personal,None,N,Yes,Finance,Mumbai
ABSB564PA6E2,EMP00464,Sick Leave,ML-PLAN-04,2023-10-30,2023-11-01,3,2023-10-19,EMP00040,2023-10-24,Withdrawn,Marriage,Recurring,N,Yes,Sales,Mumbai
ABSQTZG82LUQ,EMP00028,Casual Leave,AL-PLAN-01,2024-04-27,2024-05-04,8,2024-04-25,EMP00041,2024-04-29,Approved,COVID-19,,N,No,Engineering,Sydney
ABSBDNP0QYWO,EMP00646,Sick Leave,ML-PLAN-04,2023-12-27,2024-01-06,11,2023-12-07,EMP00041,2023-12-08,Pending,Child Care,,N,No,Product,Singapore
ABS1F843LUXM,EMP00142,Compensatory Off,PL-PLAN-05,2024-03-17,2024-03-17,1,2024-02-28,EMP00026,2024-03-03,Pending,Child Care,Recurring,Y,N/A,Product,Singapore
ABS077V5VBSC,EMP00277,UNKNOWN_TYPE_XYZ,UL-PLAN-07,2023-11-08,2023-11-05,19,2023-10-16,EMP00017,2023-10-21,Withdrawn,Medical,,N,No,Legal,Bengaluru
ABSBQMU51W72,EMP00266,Bereavement Leave,ML-PLAN-04,2023-05-10,2023-05-14,5,2023-04-22,EMP00041,2023-04-25,Rejected,Emergency,,N,Yes,Operations,Singapore
ABSB0KL98SU9,EMP00016,Sick Leave,AL-PLAN-01,2024-06-15,2024-06-15,1,2024-05-18,EMP00045,2024-05-22,Rejected,Personal,Recurring,N,Yes,Legal,Sydney
ABSI4812QM4S,EMP00165,Compensatory Off,BL-PLAN-08,2023-05-11,2023-05-16,6,2023-04-25,EMP00031,2023-04-30,Withdrawn,Emergency,None,N,N/A,Product,London
ABSMWC41V0NG,EMP00337,Unpaid Leave,CL-PLAN-03,2023-02-11,2023-02-11,1,2023-01-13,EMP00032,2023-01-14,Approved,Medical Appointment,Recurring,N,N/A,Engineering,Singapore
ABSVFDFYOXAP,EMP00164,Unpaid Leave,BL-PLAN-08,2025-02-05,2025-02-15,11,2025-01-24,EMP00049,2025-01-28,Pending,COVID-19,None,N,Yes,Sales,Mumbai
ABSYPJUGF4UB,EMP00426,Work From Home,CO-PLAN-06,2023-09-27,2023-09-27,1,2023-09-13,EMP00042,2023-09-18,Cancelled,Personal,Urgent,N,No,Operations,New York
ABSUWP886QNI,EMP00722,Sick Leave,BL-PLAN-08,2023-05-28,2023-06-08,12,2023-05-01,EMP00010,2023-05-05,Approved,Other,Pre-planned,N,No,Finance,Singapore
ABSHSU47CBZF,EMP00143,Compensatory Off,CO-PLAN-06,2024-11-01,2024-11-03,3,2024-10-29,EMP00004,2024-11-01,Rejected,COVID-19,,N,Yes,Product,Singapore
ABS16FLZMVV2,EMP00458,Maternity Leave,UL-PLAN-07,2024-01-11,2024-01-14,4,2023-12-12,EMP00003,2023-12-15,Pending,Travel,Pre-planned,N,Yes,Finance,London
ABSK15F1P5AF,,Maternity Leave,PL-PLAN-05,,2024-10-04,-1,2024-10-17,EMP00009,2024-09-25,Rejected,Travel,,N,No,Engineering,London
ABSQNWW8SL9U,EMP00610,Bereavement Leave,PL-PLAN-05,2022-06-18,2022-06-24,7,2022-05-27,EMP00022,2022-05-31,Pending,Family,,N,N/A,Legal,Toronto
ABSASIEMQJCP,EMP00498,Sick Leave,PL-PLAN-05,2023-03-17,2023-03-28,12,2023-02-24,EMP00016,2023-03-01,Cancelled,Medical Appointment,None,N,Yes,Operations,Dubai
ABSHKZB7VZVG,EMP00053,Compensatory Off,CL-PLAN-03,2024-08-29,2024-08-30,2,2024-07-30,EMP00027,2024-08-04,Rejected,Child Care,,N,Yes,Finance,Dubai
ABS1NIAD1YWY,EMP00218,Compensatory Off,SL-PLAN-02,2024-03-17,2024-03-26,10,2024-03-06,EMP00036,2024-03-07,Approved,Other,Pre-planned,N,Yes,Human Resources,New York
ABSXJV0ISN60,EMP00493,Work From Home,BL-PLAN-08,2024-06-12,2024-06-17,15,2024-06-08,EMP00001,2024-06-11,Rejected,Emergency,,Y,N/A,Legal,London
ABSW4Q01QZ2O,EMP00019,Casual Leave,CL-PLAN-03,2024-03-28,2024-04-09,13,2024-03-17,EMP00035,2024-03-19,Cancelled,Personal,,N,Yes,Human Resources,New York
ABSMNUDBZCSL,EMP00555,Casual Leave,ML-PLAN-04,2023-12-04,2023-12-07,4,2023-12-02,EMP00032,2023-12-07,Pending,Emergency,,N,N/A,Product,Mumbai
ABSI5IXRIZ6V,EMP00772,Sick Leave,ML-PLAN-04,2024-07-21,2024-07-22,2,2024-07-12,EMP00003,2024-07-16,Rejected,Personal,,N,Yes,Operations,Mumbai
ABSDKVBAXFTF,EMP00580,Compensatory Off,CO-PLAN-06,2022-04-10,2022-04-15,6,2022-03-25,EMP00015,2022-03-26,Cancelled,Medical Appointment,Urgent,N,Yes,Product,Dubai
ABSPDYF8D2HJ,EMP00179,Compensatory Off,CL-PLAN-03,2022-06-04,2022-06-01,1,2022-05-13,EMP00044,2022-05-14,Rejected,Medical Appointment,None,N,No,Finance,Mumbai
ABSOGBXRZ753,EMP00678,Casual Leave,SL-PLAN-02,2024-02-01,2024-02-10,10,2024-01-18,EMP00014,2024-01-20,Withdrawn,Travel,,N,No,Product,Toronto
ABSO2B39BTN5,EMP00048,Unpaid Leave,CO-PLAN-06,2023-02-06,2023-02-11,6,2023-02-02,EMP00025,2023-02-07,Cancelled,Travel,,Y,Yes,Legal,London
ABSDYMNWKRTP,EMP00377,Sick Leave,CL-PLAN-03,2023-07-15,2023-07-27,13,2023-07-10,EMP00014,2023-07-11,Cancelled,Child Care,,Y,No,Marketing,Toronto
ABSDH4EH1Z92,EMP00154,Annual Leave,UL-PLAN-07,2023-04-06,2023-04-12,7,2023-03-27,EMP00044,2023-03-28,Rejected,Vacation,,N,N/A,Product,Bengaluru
ABSZPK3ZW94Y,EMP00108,Sick Leave,CO-PLAN-06,2022-12-29,2023-01-01,4,2022-12-24,EMP00031,2022-12-26,Cancelled,Medical,,Y,No,Legal,Dubai
ABSXKOUR28AF,EMP00624,Work From Home,AL-PLAN-01,2025-02-04,2025-02-17,14,2025-01-12,EMP00003,2025-01-17,Cancelled,Emergency,Recurring,N,No,Sales,London
ABS0M7VBB9SA,EMP00476,Sick Leave,PL-PLAN-05,2024-08-08,2024-08-13,6,2024-07-25,EMP00037,2024-07-29,Cancelled,Vacation,Recurring,N,N/A,Product,Singapore
ABSCC0A0XED0,EMP00424,Maternity Leave,PL-PLAN-05,2025-02-18,2025-03-02,13,2025-01-24,EMP00017,2025-01-27,Rejected,COVID-19,,Y,N/A,Marketing,New York
ABSX6JXKA98W,EMP00522,Sick Leave,PL-PLAN-05,2022-02-22,2022-03-01,8,2022-02-12,EMP00001,2022-02-15,Pending,COVID-19,,N,Yes,Sales,Bengaluru
ABS80FS1T8S7,EMP00761,UNKNOWN_TYPE_XYZ,AL-PLAN-01,,2023-04-23,0,2023-04-18,EMP00024,2023-04-23,UNKNOWN,Marriage,,Y,Yes,Sales,Sydney
ABSD7FK8DMMX,EMP00585,Maternity Leave,UL-PLAN-07,2022-10-31,2022-11-05,6,2022-10-20,EMP00050,2022-10-21,Pending,Emergency,Urgent,N,Yes,Engineering,Toronto
ABS4EI174W89,EMP00489,Maternity Leave,SL-PLAN-02,2024-06-07,2024-06-17,11,2024-05-13,EMP00043,2024-05-16,Withdrawn,Personal,Recurring,N,N/A,Product,Dubai
ABSPZW3TECQY,EMP00292,Casual Leave,ML-PLAN-04,2024-02-13,2024-02-26,14,2024-01-28,EMP00049,2024-02-02,Rejected,Vacation,Recurring,N,Yes,Operations,Dubai
ABSFVYNRPOC1,EMP00276,Unpaid Leave,SL-PLAN-02,2022-03-24,2022-04-05,13,2022-03-17,EMP00022,2022-03-18,Cancelled,COVID-19,None,N,Yes,Sales,Sydney
ABS59G42KHAK,,Compensatory Off,CO-PLAN-06,2023-12-13,2023-12-25,13,2023-12-08,EMP00009,2023-12-09,Cancelled,Emergency,Recurring,Y,No,Human Resources,Singapore
ABSD632EXH6D,EMP00685,Unpaid Leave,AL-PLAN-01,2023-03-03,2023-03-12,10,2023-02-02,EMP00019,2023-02-07,Cancelled,Personal,,N,No,Operations,New York
ABSI6Y5PF8VK,EMP00527,Maternity Leave,SL-PLAN-02,2022-03-28,2022-04-06,10,2022-03-25,EMP00002,2022-03-30,Rejected,Personal,None,Y,Yes,Product,Dubai
ABSL2BNAXNFW,EMP00677,Work From Home,AL-PLAN-01,2022-05-06,2022-05-14,9,2022-04-11,EMP00042,2022-04-14,Pending,Family,,Y,No,Human Resources,Dubai
ABSZQIH86DW6,EMP00620,Annual Leave,ML-PLAN-04,2023-12-02,2023-12-05,4,2023-11-14,EMP00046,2023-11-19,Withdrawn,Medical Appointment,None,N,No,Operations,New York
ABSYPZ6BUOV2,EMP00021,Unpaid Leave,SL-PLAN-02,2023-11-01,2023-10-29,13,2023-10-11,EMP00016,2023-10-13,Cancelled,Family,,Y,Yes,Marketing,Bengaluru
ABSEFHQAESSG,EMP00413,Bereavement Leave,AL-PLAN-01,2022-08-01,2022-08-12,12,2022-07-19,EMP00005,2022-07-24,Pending,Medical,,N,Yes,Human Resources,Dubai
ABSXIDTAXOS6,EMP00616,Casual Leave,BL-PLAN-08,2022-01-14,2022-01-19,6,2022-01-09,EMP00006,2022-01-12,Rejected,Travel,Recurring,N,No,Operations,New York
ABSQA5PXKJG8,EMP00367,Bereavement Leave,CO-PLAN-06,2024-01-06,2024-01-17,12,2023-12-27,EMP00049,2024-01-01,Withdrawn,Medical Appointment,Recurring,N,Yes,Product,Dubai
ABSVYJPKKCC6,EMP00303,Sick Leave,CO-PLAN-06,2024-02-08,2024-02-10,3,2024-01-29,EMP00003,2024-01-31,Pending,Medical,,N,N/A,Sales,Dubai
ABSWDUH7OS8Z,EMP00432,Sick Leave,SL-PLAN-02,2023-03-27,2023-04-06,17,2023-03-14,EMP00044,2023-03-18,Cancelled,Emergency,Pre-planned,N,Yes,Engineering,Toronto
ABSUVXX1CYVL,EMP00291,Bereavement Leave,BL-PLAN-08,2023-07-16,2023-07-28,13,2023-07-14,EMP00028,2023-07-15,Cancelled,Medical,Recurring,Y,N/A,Human Resources,Dubai
ABS0831S5VH7,EMP00551,Maternity Leave,BL-PLAN-08,2022-06-16,2022-06-21,6,2022-05-26,EMP00018,2022-05-27,Pending,Personal,,N,No,Sales,Sydney
ABSH7TUJO4KV,EMP00033,Sick Leave,SL-PLAN-02,2022-10-05,2022-10-12,8,2022-09-06,EMP00003,2022-09-09,Withdrawn,Medical,Pre-planned,N,N/A,Engineering,Bengaluru
ABSMAP53Z03N,EMP00025,Sick Leave,AL-PLAN-01,2024-03-13,2024-03-15,3,2024-02-15,EMP00010,2024-02-20,Rejected,Medical,None,N,Yes,Engineering,Singapore
